PDB,label,DOCKQ,FNAT,IRMSD,LRMSD,CAPRI_quality,PID,HADDOCK,ZRANK2,ROSETTADOCK,PYDOCK_TOT,SIPPER,AP_PISA,FIREDOCK,CP_PIE,dMaSIF,PIsToN,GNN-DOVE,DeepRank-GNN
1PPE-ti5-it0-811,1,0.496,0.357,2.01,4.586,3,1PPE,-47.20782,-112.446,7.205,-8.403,4.107,-0.1588,-36.52,0.929373,0.731448054,0.882982194,0.0767,0.47136662
1PPE-ti5-it0-526,1,0.487,0.314,1.982,4.497,2,1PPE,-44.53882,-90.2878,10.283,-6.02,4.976,-0.1588,-33.64,0.883153,0.697594523,0.981984913,0.0806,0.440824594
1PPE-ti-it0-896,1,0.534,0.429,1.879,4.46,2,1PPE,-53.11126,-102.02,5.73,-8.775,3.657,-0.1987,-44.05,0.937792,0.505798638,0.445700288,0.1575,0.553172252
1PPE-ti-it0-261,1,0.534,0.429,1.879,4.46,2,1PPE,-51.88226,-102.362,5.722,-8.773,3.657,-0.1998,-44.09,0.937802,0.598168015,0.512892962,0.157,0.553202584
1PPE-ti5-it1-364,1,0.862,0.843,0.802,1.626,1,1PPE,-118.92988,-251.416,-7.343,-16.48,8.543,-0.4595,-81.45,1.482719,0.674827039,-1.393844247,0.0939,0.692241478
1PPE-ti-itw-208w,1,0.86,0.843,0.846,1.212,1,1PPE,-129.9338,-323.964,-12.381,-19.76,9.046,-0.3984,-91.04,1.748437,1.075811148,-1.711155653,0.068,0.662303197
1PPE-ti-it0-667,1,0.665,0.543,1.274,3.272,2,1PPE,-60.77336,-124.198,0.275,-13.435,5.722,-0.2842,-39.26,0.869892,1.033837557,0.629267871,0.0836,0.689588794
1PPE-ti-it1-181,1,0.807,0.771,0.94,2.325,1,1PPE,-110.6724,-158.343,-7.522,-17.557,9.074,-0.4706,-83.98,1.515059,0.421041608,-1.406775832,0.0646,0.737384128
1PPE-ti-it1-186,1,0.867,0.786,0.671,1.1,1,1PPE,-104.24464,-281.976,-7.991,-20.71,8.474,-0.424,-78.19,1.546734,0.332874388,-1.027504206,0.1011,0.735910162
1PPE-ti5-it0-210,1,0.612,0.543,1.558,4.072,2,1PPE,-65.67469,-127.401,3.532,-6.305,5.479,-0.2239,-29.21,0.846019,0.688501179,0.367601871,0.0333,0.536730215
1PPE-ti-it0-278,1,0.534,0.429,1.879,4.46,2,1PPE,-51.92846,-102.376,5.715,-8.772,3.657,-0.1998,-44.09,0.937774,0.499637812,0.466710329,0.1575,0.553187633
1PPE-ti-it0-356,1,0.407,0.3,2.655,5.84,3,1PPE,-44.01144,-147.166,21.782,-1.41,5.573,-0.1253,-37.94,1.090947,0.651476264,0.300363183,0.132,0.412295358
1PPE-ti5-it1-65,1,0.876,0.814,0.672,1.175,1,1PPE,-92.0842,-221.262,-7.309,-14.228,8.157,-0.3592,-57.56,1.39682,0.162048429,-1.088054895,0.0494,0.701578456
1PPE-ti-itw-334w,1,0.793,0.771,1.1,1.77,2,1PPE,-132.9973,-266.743,-10.469,-25.244,8.389,-0.4643,-99.49,1.665576,0.797036529,-1.791915178,0.0371,0.821655175
1PPE-ti-it1-71,1,0.836,0.743,0.767,1.468,1,1PPE,-110.18918,-265.953,-8.078,-23.896,7.81,-0.2724,-81.02,1.499322,0.420199037,-1.763391614,0.0956,0.72190296
1PPE-ti-it1-27,1,0.829,0.786,0.856,1.984,1,1PPE,-108.8322,-126.644,-7.982,-17.373,8.912,-0.4489,-79.12,1.519538,0.526009321,-1.347460866,0.1133,0.81697644
1PPE-ti-it0-622,1,0.665,0.543,1.274,3.272,2,1PPE,-60.53562,-124.217,0.281,-13.43,5.722,-0.2847,-39.26,0.869741,0.898728371,0.367521167,0.0836,0.689475571
1PPE-ti-it0-412,1,0.534,0.429,1.879,4.46,2,1PPE,-51.9918,-102.032,5.727,-8.777,3.657,-0.1987,-44.05,0.937809,0.505740404,0.667628229,0.1575,0.55322217
1PPE-ti-itw-113w,1,0.843,0.8,0.872,1.161,1,1PPE,-124.3671,-243.948,-12.199,-25.67,10.671,-0.366,-87.06,1.742583,1.002657175,-0.547470689,0.0873,0.647395873
1PPE-ti-itw-146w,1,0.875,0.886,0.823,1.495,1,1PPE,-134.7341,-298.1,-12.536,-24.704,10.723,-0.4436,-96.43,1.75405,1.216506958,-1.753543615,0.069,0.691395676
1PPE-ti-it0-460,1,0.407,0.3,2.655,5.84,3,1PPE,-47.74223,-146.115,21.781,-1.402,5.573,-0.1253,-37.94,1.090895,0.639347911,0.850451827,0.132,0.412261887
1PPE-ti5-it1-79,1,0.556,0.471,1.859,4.224,2,1PPE,-93.99848,-200.072,-4.312,-14.092,6.216,-0.3348,-59.42,1.238286,1.088515282,-1.00221467,0.1424,0.548667055
1PPE-refb-it1-33,1,0.96,0.929,0.335,0.434,1,1PPE,-131.8756,-278.441,-11.407,-21.424,8.521,-0.5605,-76.22,1.569341,1.18712008,-1.47379756,0.0964,0.660284555
1PPE-ti5-it1-294,1,0.826,0.771,0.846,1.998,1,1PPE,-108.75009,-253.887,-8.836,-13.215,7.921,-0.4333,-77.62,1.518888,0.412299097,-1.459008217,0.0462,0.601095404
1PPE-ti5-it1-21,1,0.796,0.7,0.914,1.74,1,1PPE,-95.81682,-194.198,-7.082,-18.787,6.964,-0.3374,-67.43,1.273528,0.675028861,-1.100806475,0.03,0.711257702
1PPE-ti5-it1-72,1,0.576,0.486,1.776,3.899,2,1PPE,-91.38069,-196.631,-6.362,-10.267,6.032,-0.3315,-63.49,1.254181,0.930693805,-1.257727981,0.0586,0.571668056
1PPE-ti-it0-440,1,0.534,0.429,1.879,4.46,2,1PPE,-52.20396,-102.362,5.717,-8.776,3.657,-0.1998,-44.09,0.937757,0.596688926,0.328006387,0.157,0.553171632
1PPE-ti-it1-392,1,0.673,0.643,1.45,3.458,2,1PPE,-100.40292,-233.992,-7.499,-17.48,6.53,-0.3296,-64.01,1.371251,0.805113912,-1.523592472,0.0442,0.593787578
1PPE-ti5-itw-61w,1,0.843,0.814,0.888,1.341,1,1PPE,-120.486,-291.499,-10.97,-13.048,8.88,-0.4073,-83.99,1.480383,0.014883767,-1.558523417,0.0358,0.57777802
