PDB,PID,seqid,label,capri_quality,Unnamed: 5,Unnamed: 6,model,nclash,fnat,fnonnat,lrmsd,irmsdbb,irmsdsc,distance,theta,classification,ZRANK2,ROSETTADOCK,PYDOCK_TOT,SIPPER,AP_PISA,FIREDOCK,CP_PIE,DeepRank-GNN,GNN-DOVE,dMaSIF,PIsToN,DeepRank,HADDOCK
T29_0,T29,90.9,0,4,,,T29_0_conv,95/100,0.0,1.0,68.5528,21.9042,23.3471,63.1928,159.2791,incorrect,-6.36716,29.514,-5.76,-8.277,0.1809,-34.5,0.885239,0.002169276,0.1912,-0.582116723,0.245601654,2.276690006,-66.6531
T29_1000,T29,94.5,0,4,,,T29_1000_conv,40/100,0.0,1.0,16.8429,9.8458,10.7171,7.7771,67.1773,incorrect,-130.035,20.465,-24.396,5.009,-0.1675,-37.31,0.667385,0.033626281,0.2214,-0.051979009,0.926114678,1.137904197,-65.6078
T29_1001,T29,90.9,0,4,,,T29_1001_conv,3/100,0.0,1.0,29.9859,14.5198,14.9652,25.7681,86.2917,incorrect,-128.203,-0.788,1.078,0.819,-0.0426,-9.56,0.530201,0.005455468,0.096,-0.599099576,1.960213184,-4.912790298,-76.41506
T29_1002,T29,90.9,0,4,,,T29_1002_conv,65/100,0.0,1.0,69.2146,21.7389,23.1582,63.76,164.6142,incorrect,19.9056,26.259,6.265,-9.123,0.1819,-14.46,0.659498,-0.000207501,0.5877,-0.499629766,1.523465276,1.701098919,9.46515
T29_1003,T29,88.3,0,4,,,T29_1003_conv,2/100,0.0,1.0,71.4243,23.4717,25.2164,67.0102,128.6703,incorrect,-50.6156,-2.637,-1.83,-0.231,-0.0704,-0.67,0.22529,0.013417846,0.1148,-0.917828918,1.959803462,-4.838949442,-50.94296
T29_1004,T29,88.3,0,4,,,T29_1004_conv,23/100,0.0,1.0,35.3488,15.8493,17.4157,26.661,130.5308,incorrect,317.968,123.993,-8.374,4.508,-0.2502,-11.76,0.878189,0.015938083,0.1025,0.905669332,1.625205517,-1638.370117,2033.22331
T29_1005,T29,94.5,0,4,,,T29_1005_conv,2/100,0.175,0.875,19.264,7.5102,8.0994,7.6761,86.483,incorrect,-144.426,11.144,-30.824,9.075,-0.1765,-39.01,0.870665,0.019780837,0.1668,0.898635983,0.423861623,0.571299076,-70.03318
T29_1006,T29,88.3,0,4,,,T29_1006_conv,3/100,0.0,1.0,69.6773,24.292,25.814,65.5309,138.7766,incorrect,-64.1651,-3.087,-4.683,-0.744,-0.0468,3.6,0.344468,0.003569486,0.0939,-0.863822103,-0.047250867,-5.038676977,-43.91961
T29_1007,T29,88.3,0,4,,,T29_1007_conv,22/100,0.0,1.0,29.6326,11.5624,12.5848,14.7779,143.0961,incorrect,-176.724,-0.69,-23.581,3.716,0.0312,-12.95,1.032382,0.017972395,0.1293,0.235735029,1.487826228,2.792266846,-34.99782
T29_1008,T29,94.5,0,4,,,T29_1008_conv,17/100,0.0,1.0,31.8913,14.6321,15.7421,16.677,178.8601,incorrect,-89.0762,25.967,-22.821,4.324,-0.0336,-1.15,0.848734,0.012892758,0.1043,1.279592037,1.876705885,-0.326366395,-3.40052
T29_1009,T29,90.9,0,4,,,T29_1009_conv,67/100,0.0408,0.9733,33.9546,7.7575,8.0707,31.9701,56.9008,incorrect,-8.29438,36.307,-15.32,2.437,0.0135,-39.69,1.081923,0.296156734,0.0601,-2.820058823,-0.037589669,2.921773911,-30.93077
T29_100,T29,90.9,0,4,,,T29_100_conv,181/100,0.0,1.0,63.654,17.2515,19.0519,58.6867,144.1828,"clashes,incorrect",1115.06,328.566,41.988,-13.157,0.2428,-57.8,0.338078,0.010942721,0.1656,-1.12553823,0.682232738,-159.7859383,2393.02116
T29_1010,T29,90.9,0,4,,,T29_1010_conv,36/100,0.0612,0.9302,25.7698,10.276,10.9981,10.3925,129.3036,incorrect,-105.666,28.619,-26.865,8.6,-0.1486,-52.94,0.868599,0.05725953,0.1136,0.106611893,1.155513287,-0.507947683,-66.6712
T29_1011,T29,90.9,0,4,,,T29_1011_conv,13/100,0.0,1.0,88.0492,30.6531,31.5622,86.7192,78.5646,incorrect,-65.4082,6.149,-1.111,-2.427,0.0514,6.66,0.560247,0.008492695,0.0636,-1.061493397,1.812056065,-0.732557684,-105.69163
T29_1012,T29,90.9,0,4,,,T29_1012_conv,63/100,0.0,1.0,47.1611,11.3554,11.6731,42.272,101.9069,incorrect,-156.218,35.117,-0.378,4.807,-0.0744,-19.41,1.065752,0.160603136,0.2561,-2.389019012,-0.889816225,1.414056659,-42.11106
T29_1013,T29,90.9,0,4,,,T29_1013_conv,10/100,0.0,1.0,52.8958,22.3126,22.88,46.3021,135.7345,incorrect,-118.09,6.356,-12.221,0.909,-0.0953,-14.11,0.940234,0.281425357,0.2077,-0.682271898,1.771013975,1.917046189,-65.414349
T29_1014,T29,90.8,0,4,,,T29_1014_conv,122/100,0.0,1.0,59.8195,17.2579,18.7222,56.6492,112.8542,"clashes,incorrect",1908.43,470.227,15.724,-6.204,0.2482,-33.13,0.16156,0.017802818,0.0864,-2.07944417,1.937386632,-657093.5313,10486.26888
T29_1015,T29,90.9,0,4,,,T29_1015_conv,11/100,0.0,1.0,24.9833,11.2018,12.0579,18.5904,104.8797,incorrect,-316.434,-14.657,-54.884,11.085,-0.2256,-87.35,1.483027,0.156299666,0.2724,0.240312591,-0.025123954,3.694744706,-208.075
T29_1016,T29,90.9,0,4,,,T29_1016_conv,136/100,0.0,1.0,73.5374,18.3847,19.2979,68.2797,178.9485,"clashes,incorrect",127.836,91.789,30.727,-7.293,0.175,-19.78,0.628357,0.018197162,0.1279,-1.365031362,1.487523317,4.143947482,-6.24407
T29_1017,T29,90.9,0,4,,,T29_1017_conv,10/100,0.0,1.0,58.246,15.7945,17.0263,54.0023,114.53,incorrect,-172.433,-3.374,-8.343,9.297,-0.2962,-21.58,0.989208,0.004345739,0.1059,-1.20023191,0.608222485,-0.238559127,-111.36271
T29_1018,T29,90.9,0,4,,,T29_1018_conv,16/100,0.0,1.0,59.8436,16.2491,18.2105,54.6702,142.579,incorrect,-182.801,-7.488,-18.987,-2.387,0.0194,-50.56,0.340805,-0.004671225,0.232,-1.048569202,-0.596892715,1.245812058,-188.38419
T29_1019,T29,90.9,0,4,,,T29_1019_conv,24/100,0.0,1.0,66.6247,16.7761,18.0491,61.1342,177.8552,incorrect,-53.7489,21.188,6.058,-4.46,0.232,-22.93,0.584357,0.014768426,0.1068,-1.989498854,1.94457984,1.644616604,-27.62399
T29_101,T29,88.3,0,4,,,T29_101_conv,10/100,0.0,1.0,26.8971,12.7145,13.4071,8.2818,168.6133,incorrect,-185.318,-4.555,-28.507,10.28,-0.1005,-15.99,0.893994,0.015744582,0.065,1.14097476,1.903283477,-0.554055244,-100.1522
T29_1020,T29,90.9,0,4,,,T29_1020_conv,38/100,0.0,1.0,39.3505,17.4408,18.4401,28.848,158.2057,incorrect,39.8601,68.044,10.603,-0.911,0.1303,0.78,0.708906,0.019278713,0.1075,-0.805069387,1.274328709,-0.432811588,487.668407
