PDB,seqid,classification,PID,label,HADDOCK,ZRANK2,ROSETTADOCK,PYDOCK_TOT,SIPPER,AP_PISA,FIREDOCK,CP_PIE,GNN-DOVE,dMaSIF,DeepRank-GNN,PIsToN
T29_0,90.9,incorrect,T29,0,-101.8905,2123.33,552.699,10.621,-9.205,0.2524,-42.71,0.27728,0.3467,-0.860945344,0.010279951,1.929208398
T29_1,90.9,incorrect,T29,0,-99.3019,92.4391,27.694,-7.678,-2.879,0.0717,-28.57,0.604099,0.2274,-1.574697256,0.010279951,0.491770864
T29_100,90.9,"clashes,incorrect",T29,0,33.5608,3417.74,960.864,48.395,-13.751,0.194,-56.37,-0.304473,0.2742,-1.26046443,0.00997634,1.899737597
T29_1000,94.5,incorrect,T29,0,-97.8185,392.273,197.435,-22.111,4.431,-0.1333,-37.74,0.449554,0.2274,-0.304505974,0.010279951,0.807747543
T29_1001,90.9,incorrect,T29,0,-71.6695,-116.501,-1.194,1.663,0.295,-0.016,-7.56,0.516464,0.2274,-0.573129892,0.055831373,1.834279656
T29_1002,90.9,incorrect,T29,0,-60.85688,1380.36,299.153,13.574,-9.099,0.1214,-16.73,0.19745,0.2651,-0.688585758,0.010279951,1.868458867
T29_1003,88.3,incorrect,T29,0,-57.9441,-43.1967,-2.682,-0.742,-0.417,-0.0423,-1,0.208631,0.3177,-0.759571016,-0.037323978,1.950738549
T29_1004,88.3,incorrect,T29,0,-57.24828,317.682,123.965,-8.43,4.514,-0.2503,-11.74,0.878257,0.2355,0.764825583,0.011863855,1.306369066
T29_1005,94.5,incorrect,T29,0,-84.0406,-167.443,-5.025,-33.027,8.798,-0.1685,-38.12,0.84459,0.2274,0.882187366,0.12963292,0.294791818
T29_1006,88.3,incorrect,T29,0,-48.29534,-59.2946,-2.937,-4.963,-0.926,-0.0246,2.96,0.342588,0.2939,-1.027798772,0.024119908,1.926485419
T29_1007,88.3,incorrect,T29,0,-71.56732,10.9604,36.308,-22.374,3.228,0.0423,-15.54,0.965333,0.2529,0.150874048,0.010279951,1.410656214
T29_1008,94.5,incorrect,T29,0,-54.46176,254.488,150.812,-21.338,4.069,-0.0216,-1.8,0.749982,0.2663,0.999512851,0.010279951,1.966101885
T29_1009,90.9,incorrect,T29,0,-70.52006,2171.92,367.541,-7.171,2.027,0.0287,-36.91,0.615591,0.2816,-2.500063896,0.034087341,0.623482764
T29_101,88.3,incorrect,T29,0,-107.35134,-181.837,-5.117,-31.506,9.987,-0.0823,-18.12,0.888238,0.2684,0.842908919,0.010279951,1.766190767
T29_1010,90.9,incorrect,T29,0,-81.4456,469.906,182.027,-23.109,9.22,-0.1715,-53.46,0.736752,0.2274,0.092612281,0.010279951,0.78962177
T29_1011,90.9,incorrect,T29,0,-95.26114,0.530313,18.78,1.729,-2.898,0.0624,6.27,0.514501,0.2551,-0.993590772,0.007111946,1.83983016
