PDB,Input,PID,label,HADDOCK,ZRANK2,ROSETTADOCK,PYDOCK_TOT,SIPPER,AP_PISA,FIREDOCK,CP_PIE,GNN-DOVE,DeepRank-GNN,dMaSIF,PIsToN
1a2k_10,r-l_10,1a2k,0,-147.2379,810.218,305.915,-5.733,0.776,0.101,-70.15,1.157944,0.2399,0.006007977,-0.910116434,-0.484626174
1a2k_100,r-l_100,1a2k,0,-83.022792,1959.91,653.466,-3.954,-5.977,0.1316,-75.83,0.219083,0.2411,0.005241458,-2.072983503,0.5043168067932129
1a2k_11,r-l_11,1a2k,0,-29.3698,1165.86,383.159,13.802,-2.556,0.2646,-77.27,0.37824,0.2403,0.010279951,-0.676387802,1.8395638465881348
1a2k_12,r-l_12,1a2k,0,-135.9831,532.372,276.49,-12.443,-2.255,-0.0671,-53.32,0.995181,0.2389,0.00533852,-1.236731529,1.217207670211792
1a2k_13,r-l_13,1a2k,0,-163.70954,386.203,151.127,-12.838,-0.542,-0.0871,-49.05,0.853365,0.2397,0.000832993,-0.385887176,-1.269315958
1a2k_14,r-l_14,1a2k,0,-19.4948,771.233,348.62,-9.469,-1.679,0.1903,-49.52,0.700885,0.2402,0.010279951,-1.431931615,0.9708115458488464
1a2k_15,r-l_15,1a2k,0,56.14509999999999,1823.79,567.138,-25.098,5.094,0.0237,-109.19,0.551598,0.2407,0.007769938,0.01369739,-0.942342699
1a2k_16,r-l_16,1a2k,0,-62.6216,1125.22,379.543,12.304,-0.303,-0.0993,-43.62,0.289691,0.7244,0.010279951,-1.810053706,1.4359797239303589
1a2k_17,r-l_17,1a2k,0,-97.32855637,545.346,243.58,-3.876,-9.319,0.3061,-37.69,0.902506,0.4475,0.010279951,-1.88323164,0.5473155975341797
1a2k_18,r-l_18,1a2k,0,-153.71913,1001.59,341.823,-3.302,-0.704,-0.0782,-88.87,1.104778,0.2406,0.003967702,-0.898861462,-0.630865574
1a2k_19,r-l_19,1a2k,0,-89.96284,1985.49,621.259,6.605,-3.435,-0.0331,-71.33,0.145758,0.2403,0.002332015,-0.614748895,1.8194879293441768
1a2k_2,r-l_2,1a2k,0,95.92287,1778.26,727.098,-2.87,-0.762,0.2179,-112.13,0.753338,0.2416,0.003097744,-1.109016418,0.5644079446792603
1a2k_20,r-l_20,1a2k,0,-120.22257,357.052,182.855,2.366,3.399,-0.1489,-28.25,0.544516,0.9389,0.010279951,-1.104938149,1.8781752586364744
1a2k_21,r-l_21,1a2k,0,-22.53558,1533.41,361.154,3.299,-4.657,0.2106,-37.44,0.172026,0.2398,0.012892345,-0.827588558,1.802168726921081
1a2k_22,r-l_22,1a2k,0,-79.97628,1542.76,482.459,14.607,-10.761,0.3068,-19.94,0.133393,0.2402,0.010279951,-1.108628631,1.829244852
1a2k_23,r-l_23,1a2k,0,10.7841,1600.34,601.121,-6.175,-4.477,0.1938,-98.78,0.569286,0.2401,0.010279951,-0.532595396,-0.78418225
1a2k_24,r-l_24,1a2k,0,-19.3426,585.41,207.553,9.525,-0.758,0.0329,-26.31,0.819702,0.2581,0.009807333,-1.160296559,1.9323458671569824
1a2k_25,r-l_25,1a2k,0,-8.09825,1227.06,376.915,-6.302,-6.839,-0.0979,-63.59,0.123217,0.2399,0.004662124,-0.982001424,1.93868351
1a2k_26,r-l_26,1a2k,0,-159.84926,310.751,150.039,-15.218,-1.806,-0.0238,-50.03,1.049264,0.2394,0.009010918,-1.218591213,0.9735214710235596
1a2k_27,r-l_27,1a2k,0,-98.42887,694.146,243.422,-0.963,-4.341,-0.0047,-46.99,0.168023,0.4266,0.011752922,-1.043839693,1.9253308773040767
1a2k_28,r-l_28,1a2k,0,3.4031099999999976,1102.08,425.543,-2.955,-1.538,0.2045,-97.72,0.99278,0.2559,0.020411184,-0.554760244,1.614210605621338
1a2k_29,r-l_29,1a2k,0,-120.0589,861.051,153.037,25.662,-5.884,0.0504,13.93,0.275783,0.9161,0.010279951,-1.285160184,1.9473389387130733
1a2k_3,r-l_3,1a2k,0,-214.76275,260.329,112.153,-21.182,-6.474,-0.1458,-32.86,0.616321,0.2392,0.005989271,-0.606293082,-0.070032358
1a2k_30,r-l_30,1a2k,0,-9.14165,1043.59,420.298,-4.903,-1.859,0.1629,-77.17,1.056677,0.2394,0.010279951,-1.391829491,-0.257088065
1a2k_32,r-l_32,1a2k,0,-94.67647,686.095,275.746,-0.459,-11.57,0.3588,-17.56,0.726631,0.4188,0.010279951,-1.853111625,1.0111899375915527
1a2k_33,r-l_33,1a2k,0,-123.05434,1600.55,625.118,7.414,0.256,0.067,-105.72,0.912234,0.2409,0.001843252,-0.733418575,0.8692137002944946
1a2k_34,r-l_34,1a2k,0,15.216862,1545.29,383.737,-9.899,-9.295,0.2772,-109.23,0.371147,0.2407,0.010934067,-1.194641829,-0.251961589
1a2k_35,r-l_35,1a2k,0,-145.63897,886.501,214.98,-19.06,-4.662,0.0802,-37.4,-0.009304,0.5283,0.002812035,-0.824065268,1.929390311
1a2k_36,r-l_36,1a2k,0,-75.60842,1130.93,306.958,-7.904,-6.131,0.1218,-48.16,0.073767,0.4916,0.00783096,-0.732543945,1.7428045272827148
1a2k_365130,r-l_365130,1a2k,1,18.905569,2463.59,642.21,5.053,-0.61,-0.1002,-59.06,0.011864,0.963,0.010279951,-0.102359042,1.0162029266357422
1a2k_38,r-l_38,1a2k,0,-103.95731,1583.4,502.675,-9.722,-1.316,-0.0404,-61.96,0.261322,0.2706,2.5127e-05,-0.63642025,1.7206993103027344
1a2k_39,r-l_39,1a2k,0,-126.37433,433.047,183.74,-0.862,-5.631,0.1048,-37.75,0.261689,0.3077,0.009681313,-1.174843073,1.884477138519287
1a2k_4,r-l_4,1a2k,0,-102.73934,1484.51,586.52,5.288,0.099,-0.0243,-94.16,0.779084,0.2404,0.001457444,-0.570943728,0.3981239795684814
1a2k_40,r-l_40,1a2k,0,-110.58178,375.436,235.416,-12.205,-3.579,-0.0045,-33.42,0.612229,0.4476,0.010279951,-1.405040979,0.347677469
1a2k_42,r-l_42,1a2k,0,-98.7817,1102.27,272.973,11.206,-3.767,0.1823,-17.66,0.40408,0.3711,0.010279951,-0.781697035,1.9332009553909304
1a2k_43,r-l_43,1a2k,0,-172.3786,437.102,213.289,-20.149,3.412,0.0519,-48.7,0.488606,0.2414,0.019016843,-0.915576574,0.7252975702285767
1a2k_44,r-l_44,1a2k,0,-135.332006,749.975,353.031,-8.272,-7.154,0.1378,-64.42,0.143147,0.239,0.007546919,-0.963173211,0.2713457345962524
1a2k_443512,r-l_443512,1a2k,1,-76.3991,1128.73,384.208,8.776,-1.369,0.172,-24.16,0.01591,0.9969,0.010279951,-0.249815792,0.7778127789497375
1a2k_45,r-l_45,1a2k,0,-158.24954,892.728,309.559,-7.626,0.569,-0.0758,-26.83,0.323357,0.2421,0.022486042,-0.742637098,1.9613834619522093
1a2k_46,r-l_46,1a2k,0,-174.76974,114.306,111.321,-11.859,-1.641,-0.0301,-46,1.073993,0.2391,0.003186684,-1.378133893,0.460125208
1a2k_47,r-l_47,1a2k,0,-171.0226,358.94,193.671,0.903,-0.616,0.0278,-17.73,0.632018,0.817,0.008009857,-0.900332808,1.960062861442566
1a2k_48,r-l_48,1a2k,0,-6.4548,1234.48,540.118,-4.757,2.698,0.1093,-91.94,0.47365,0.2409,0.025583915,-0.295973152,0.6063567399978638
1a2k_49,r-l_49,1a2k,0,-70.13951,723.496,276.28,-12.013,-2.509,0.083,-61.84,0.018953,0.2395,0.025491705,-1.407889748,1.1683897972106934
1a2k_5,r-l_5,1a2k,0,-173.15452,781.839,295.232,-6.291,-1.831,-0.0838,-68.83,1.068756,0.2402,0.005989271,-0.438918084,-1.468500376
1a2k_50,r-l_50,1a2k,0,-116.5732,432.481,221.409,-17.188,3.463,0.0797,-56.62,0.404523,0.3911,0.018319983,-0.238032147,0.7463943958282471
1a2k_51,r-l_51,1a2k,0,-144.34225,512.879,199.933,-7.886,-2.415,-0.0875,-77.72,0.377915,0.7481,0.009444089,-0.547120929,0.080991507
1a2k_52,r-l_52,1a2k,0,-8.80173,1697.19,614.429,4.819,2.395,0.0127,-173.36,0.836423,0.6484,0.010279951,-0.870564222,0.2170060873031616
1a2k_53,r-l_53,1a2k,0,157.95407999999998,3037.37,1063.689,51.599,-4.754,0.4284,-127.42,0.403455,0.2422,0.010279951,-0.737907648,1.263817310333252
1a2k_54,r-l_54,1a2k,0,-180.6395,56.5332,72.134,-16.314,6.019,0.2705,-74.39,0.581932,0.6175,0.004903422,-1.099593163,0.5726467370986938
1a2k_55,r-l_55,1a2k,0,75.60679999999999,2292.33,763.09,17.223,-12.425,0.1835,-69.81,-0.093306,0.2405,0.010279951,-1.672164202,0.6291788220405579
1a2k_56,r-l_56,1a2k,0,-96.3786,978.76,315.298,-19.598,-2.969,-0.043,-76.36,0.45131,0.2525,0.010279951,-0.811421812,0.065174222
1a2k_57,r-l_57,1a2k,0,-130.0086,548.164,102.606,12.36,-2.654,-0.0094,8.91,0.450854,0.8843,0.009730081,-0.568707764,1.9284875392913816
1a2k_58,r-l_58,1a2k,0,-43.99494,864.885,321.401,0.339,-1.403,0.0122,-76.22,0.438573,0.8256,0.013701553,-2.265529394,1.920481443405152
1a2k_59,r-l_59,1a2k,0,2.213909999999999,1915.18,474.955,10.908,-10.8,0.4323,-28.44,0.272057,0.241,0.010279951,0.149810061,0.8751900792121887
1a2k_6,r-l_6,1a2k,0,-134.679,361.712,160.364,12.356,-4.511,0.0743,-26.53,1.08344,0.2392,0.010279951,-1.391077089,1.766297459602356
1a2k_60,r-l_60,1a2k,0,-73.12054,1804.26,573.31,-6.889,0.636,-0.1654,-107.99,0.772622,0.2406,0.016765423,-0.395218939,0.3771413564682007
1a2k_61,r-l_61,1a2k,0,-143.90463,1380.89,421.953,-4.784,-0.434,0.1271,-87.46,0.952903,0.2405,0.006127546,-0.758907795,-0.511830926
