PDB,label,PID,DeepRank-GNN,HADDOCK,ZRANK2,ROSETTADOCK,PYDOCK_TOT,SIPPER,AP_PISA,FIREDOCK,CP_PIE,iRMSD,lRMSD,FNAT,CAPRI_quality,dMaSIF,PIsToN,GNN-DOVE
7avw_1,1,7avw,0.024501665,-124.6386,-325.176,-8.519,-38.17,8.02,-0.3874,-60.21,1.988025,0.155,0.336,0.962963,1,3.051075697,-0.6556975,0.1199
7avw_2,0,7avw,0.003718267,-28.37822,26.6118,5.355,-17.18,1.693,-0.0677,1.8,0.637433,16.627,52.438,0,4,1.0894171,1.9205232,0.0621
7avw_3,0,7avw,0.010279951,-51.2578,248.039,80.8,-16.534,0.749,0.0141,0.75,0.829771,15.673,52.038,0,4,0.560286164,1.9221923,0.1055
7avw_4,0,7avw,0.008870973,-51.65552,-113.515,-0.838,0.305,0.042,-0.0708,-8.9,0.670561,18.573,46.065,0,4,-1.023070931,1.896435,0.2274
7avw_5,0,7avw,0.004673251,-53.15885,-88.1072,7.695,-24.242,2.167,-0.1574,-11.5,1.244727,14.071,50.706,0,4,0.39025265,0.8483251,0.1735
7avw_6,0,7avw,0.002255652,-31.537935,74.7296,33.697,-0.514,-0.795,-0.1332,-2.01,0.905725,20.051,57.082,0,4,0.022295438,1.4428452,0.2053
7avw_7,0,7avw,0.005123348,-76.61446,-101.758,11.17,-16.622,0.997,-0.0957,-7.68,1.100458,16.272,54.333,0,4,0.820487916,0.56825125,0.0828
7avw_8,0,7avw,0.010279951,-28.72634,23.6079,22.105,19.662,-1.863,-0.0508,16.9,0.747551,15.933,40.778,0,4,-0.727725685,1.957815,0.2274
7avw_9,0,7avw,0.038748294,-42.474242,850.2,65.339,-17.784,-1.155,0.0457,13.92,0.691031,15.362,56.271,0,4,-0.082111813,1.7697271,0.0675
7avw_10,0,7avw,0.006564617,-54.81272,362.529,66.759,-10.033,3.41,-0.1313,-8.88,0.980306,18.58,63.009,0,4,0.741468787,1.0917292,0.1215
7avw_11,0,7avw,0.00739833,-68.69107,-57.0553,2.613,-15.584,-1.422,-0.1732,-2.57,0.83004,18.764,65.431,0,4,0.223576009,1.5345082,0.2123
7avw_12,0,7avw,0.008886178,-55.97388,-79.2776,4.24,-19.122,1.177,-0.1972,-19.78,0.811403,18.308,57.055,0,4,0.36619392,0.9035729,0.117
7avw_13,0,7avw,0.005792815,-46.04504,-73.7962,8.937,-0.29,-3.141,-0.0042,27.09,0.507592,19.887,63.971,0,4,-1.621828675,1.7650012,0.2454
7avw_14,0,7avw,0.008587004,-32.19474,46.0376,6.649,11.641,-5.472,-0.1336,29.66,0.404,17.036,47.976,0,4,-0.469829023,1.8596352,0.2274
7avw_15,0,7avw,0.029083628,-8.20672,32.0614,27.74,9.415,-1.724,0.0997,13.47,0.761991,15.594,62.798,0,4,-1.202482581,1.932766,0.2274
7avw_16,0,7avw,0.00763724,-68.72869,-119.314,-1.414,-11.394,-0.344,-0.1744,-1.56,0.909199,16.334,53.225,0,4,0.753422439,1.6140988,0.0842
7avw_17,1,7avw,0.025312655,-85.38486,-225.529,-2.658,-36.597,8.724,-0.2023,-41.03,1.271157,1.138,3.777,0.62963,2,3.680924654,0.4895004,0.1395
7avw_18,0,7avw,0.017457444,-13.18348,-33.1165,31.775,-0.144,-1.731,-0.0379,-10.83,1.026456,20.018,52.526,0,4,-0.295918882,1.7876167,0.2135
7avw_19,0,7avw,0.002966442,-52.089867,-65.7453,10.531,-10.809,0.965,-0.1728,-11.19,0.7442,13.773,53.681,0,4,-0.078558251,1.7164006,0.1332
7avw_20,0,7avw,0.010279951,-40.17313,74.792,41.851,1.956,0.012,-0.0458,44.52,0.550833,21.106,57.991,0,4,-0.314264953,1.9596788,0.163
7avw_21,0,7avw,0.010279951,-42.58949,-61.1085,3.003,-4.258,2.183,-0.0852,-16.9,0.791629,22.029,56.153,0,4,-0.35447818,1.797961,0.1147
7avw_22,0,7avw,0.002568996,-56.46454,-110.842,8.461,-14.292,1.288,-0.0229,0.25,0.873589,17.804,58.221,0,4,0.878751278,1.159297,0.1378
7avw_23,0,7avw,0.008131682,-42.89,28.6038,-1.052,3.435,-6.791,-0.0898,-11.43,0.52359,20.468,58.873,0,4,-0.618416786,1.937626,0.2274
7avw_24,0,7avw,0.010279951,-61.7165,-70.8789,-0.649,4.702,-2.161,-0.0016,-0.42,0.506529,16.288,69.467,0,4,-1.803475857,1.8725673,0.2274
7avw_25,0,7avw,0.011010488,-41.70202,-86.6387,1.589,-3.42,0.189,-0.1291,10.01,0.773879,16.675,63.017,0,4,-0.515203238,1.9335173,0.2274
7avw_26,0,7avw,0.037390761,-66.88444,-31.2271,5.189,-15.911,-3.859,-0.1135,-23.12,0.715927,29.031,81.191,0,4,-0.431960672,0.48039448,0.2173
7avw_27,0,7avw,0.029866867,-58.71044,-91.9675,3.267,-10.337,1.079,-0.1331,-22.96,0.845049,13.757,53.757,0,4,0.07619179,1.7332737,0.0958
7avw_28,0,7avw,0.008751377,-40.45883,-30.3177,1.234,-15.782,-2.778,-0.1345,-18.31,0.820668,24.965,63.204,0,4,-0.771881104,1.9136791,0.1199
7avw_29,0,7avw,0.010264994,-66.671215,-93.3329,0.783,-15.806,5.069,-0.1787,7.27,0.883904,18.663,52.775,0,4,-0.866059482,1.90618,0.2543
7avw_30,0,7avw,0.032715295,-58.0126,-122.773,1.942,-1.042,-2.872,-0.1374,16.51,0.832881,18.556,51.534,0,4,-1.156469464,1.9200777,0.0681
7avw_31,0,7avw,0.010279951,-46.8502,266.674,17.841,8.025,-2.006,0.0987,50.77,0.61576,26.429,72.855,0,4,-0.845695913,1.9559445,0.2274
7avw_32,0,7avw,0.007931461,-60.90136,288.2,39.619,-23.04,2.655,-0.1529,-23.28,0.878393,26.996,78.248,0,4,0.082865052,1.3336251,0.1401
7avw_33,0,7avw,0.010279951,-27.306024,11.9188,12.022,-1.939,-0.031,0.0165,19.51,0.431799,18.076,69.143,0,4,-0.65667814,1.9379439,0.0901
7avw_34,0,7avw,0.010279951,-74.72863,35.637,47.041,-15.309,2.488,-0.1026,-14.42,0.887055,18.327,53.644,0,4,-0.103454173,1.5663785,0.2577
7avw_35,0,7avw,0.00904418,-49.09882,0.14417,9.77,-1.255,-1.059,-0.0413,18.6,0.442629,19.295,69.917,0,4,-0.806040287,1.9418675,0.0978
7avw_36,0,7avw,0.00465836,-55.7733,-80.5958,-0.609,-13.89,0.156,-0.0032,0.37,0.674996,15.369,51.802,0,4,0.59350878,1.9561989,0.1023
7avw_37,0,7avw,0.010279951,-53.86356,80.5926,30.872,4.345,-3.752,-0.2164,25.16,0.510353,21.424,65.238,0,4,-0.489694655,1.9527197,0.1028
7avw_38,0,7avw,0.008610032,-26.31126,96.8688,13.918,6.566,-3.319,0.0217,7.5,0.238918,12.624,49.989,0,4,-1.007910371,1.7692496,0.2274
7avw_39,0,7avw,0.000755653,-39.3003,221.596,27.83,1.64,3.168,-0.0368,17.79,0.705555,17.205,59.888,0,4,-0.235606492,1.9409764,0.0662
7avw_40,0,7avw,0.015821036,8.313006000000001,7.71796,25.672,-1.229,1.451,-0.0174,18.14,0.587543,16.333,56.552,0,4,0.340752542,1.957529,0.0841
7avw_41,0,7avw,0.024772301,-58.55119,23.8966,5.068,-17.184,1.7,-0.2214,-9.95,1.11311,14.856,55.513,0,4,1.241651654,1.9367467,0.5997
7avw_42,0,7avw,0.008149373,-49.56138,-97.5732,2.944,4.246,-2.62,-0.14,21.84,0.671823,17.406,62.309,0,4,-1.149893761,1.9310391,0.106
7avw_43,0,7avw,0.007184602,-24.40417,-59.1641,25.015,-17.053,2.329,-0.1361,-14.5,0.803754,13.565,51.752,0,4,0.283171415,1.8033028,0.1686
7avw_44,0,7avw,0.008988623,-37.2456,-92.1436,5.213,7.051,-1.316,-0.0508,17.86,0.83467,18.887,43.379,0,4,-0.442358196,1.9567426,0.1846
7avw_45,0,7avw,0.002042896,-54.0638,4.71794,23.382,-2.372,-0.962,-0.1034,5.85,0.972828,17.524,60.663,0,4,-1.019573331,1.9403927,0.068
7avw_46,0,7avw,0.034405258,-60.98181,-89.603,6.063,-10.54,1.065,-0.2155,-7.05,0.941885,18.956,59.036,0,4,0.641876161,1.7916372,0.248
7avw_47,0,7avw,0.024504384,-62.25375,174.896,24.005,-0.239,0.5,-0.0253,16.34,0.497164,13.787,53.737,0,4,-0.293202966,1.9420758,0.1538
7avw_48,0,7avw,0.009676475,-32.5812,-48.3684,4.942,-7.22,-3.326,0.0386,-20.18,0.687887,29.806,86.458,0,4,-0.161910415,1.7189771,0.1445
7avw_49,0,7avw,0.005747044,-51.62631,-141.091,20.031,-17.015,3.565,-0.1964,-2.74,1.251451,17.713,58.541,0,4,-0.386871606,1.7354479,0.1473
7avw_50,0,7avw,0.010799678,-41.6122,-18.0457,-0.926,-0.1,-2.924,0.0154,-1.4,0.293844,19.306,58.785,0,4,-1.454071403,1.9503945,0.2274
7avw_51,0,7avw,0.00113334,-24.6749942,-11.496,10.561,-5.458,-2.541,0.0588,21.38,0.296015,20.352,65.208,0,4,-1.497738361,1.7935616,0.2376
7avw_52,0,7avw,0.00877361,-78.31491,-78.3801,13.898,-15.8,1.414,-0.1612,-4.74,0.849939,14.081,53.673,0,4,0.360556841,1.8782347,0.2967
7avw_53,0,7avw,0.002706278,-72.69802,-53.864,14.149,-15.082,1.224,-0.0972,11.98,0.53814,19.416,62.368,0,4,0.487991184,1.9530941,0.0898
7avw_54,0,7avw,0.017644044,-40.25822,68.6758,10.704,-1.523,-2.236,-0.0053,-0.09,0.436114,17.038,54.792,0,4,-2.226257801,1.9505445,0.2274
7avw_55,0,7avw,0.013897931,-43.63986,-91.0587,1.579,-0.427,-2.895,-0.0148,-3.43,0.496659,22.131,65.64,0,4,-0.193053633,1.9658905,0.2274
7avw_56,0,7avw,0.011974153,-75.0991,-27.7851,0.507,0.8,-0.183,-0.1746,4.21,0.822458,18.773,53.542,0,4,0.1768208,1.9385773,0.5978
7avw_57,0,7avw,0.034065586,-61.63706,174.249,58.014,-19.023,4.128,-0.1497,-19.53,0.976326,15.934,54.267,0,4,1.154964089,1.778204,0.1748
7avw_58,0,7avw,0.004875313,-46.20026,26.2244,12.999,8.011,-3.581,-0.0578,4.39,0.80332,22.11,55.543,0,4,-0.783939242,1.8577409,0.2274
7avw_59,0,7avw,0.007984675,-24.3899,61.2603,23.515,2.946,-4.445,-0.115,20.6,0.553747,17.522,60.129,0,4,-0.559043407,1.9477526,0.2287
7avw_60,0,7avw,0.010279951,-42.34526,-72.1828,-0.856,6.022,-3.382,-0.0678,20.12,0.61529,14.543,52.429,0,4,-1.277156591,1.9442484,0.2274
7avw_61,0,7avw,0.009215664,-18.47626,29.4417,20.055,-2.188,-4.359,-0.1386,17.05,0.431036,18.485,63.626,0,4,-1.243787289,1.8978018,0.1028
7avw_62,0,7avw,0.037159186,-54.410296,-113.214,13.573,-14.396,0.948,-0.0977,3.91,1.028163,17.054,59.438,0,4,-0.820341408,1.9378289,0.0915
7avw_63,0,7avw,0.007082027,-39.48176,29.7442,7.688,8.699,-3.394,0.0005,29.64,0.514535,16.37,43.395,0,4,-0.607489467,1.9046347,0.2274
7avw_64,0,7avw,0.004618517,-58.82904,56.3979,44.318,-15.179,0.153,-0.176,16.13,0.524104,19.122,55.1,0,4,0.482500285,1.5033913,0.0713
7avw_65,0,7avw,0.022371523,-64.431825,268.598,70.18,-22.35,-1.879,0.0097,-24.74,0.37887,13.268,56.322,0,4,-2.295869112,1.9610984,0.2274
7avw_66,0,7avw,0.010279951,-51.2084,-92.378,5.633,-11.731,-0.409,0.0989,1.36,0.669542,19.648,56.313,0,4,0.147022098,1.918232,0.1098
7avw_67,0,7avw,0.038473334,10.18602,71.7097,12.123,-1.514,-3.584,-0.0175,2.92,0.540848,21.917,55.849,0,4,-0.993561983,1.9278415,0.2274
7avw_68,0,7avw,0.027590852,-15.12606,341.293,14.585,11.808,-5.939,-0.0067,29.16,0.498512,17.025,58.33,0,4,-0.72623086,1.9516208,0.1057
7avw_69,0,7avw,0.010279951,-56.32543,-120.049,4.109,-3.029,-0.663,-0.0868,2.73,0.672858,18.23,39.402,0,4,-1.368756294,1.9591439,0.2274
7avw_70,0,7avw,0.012326031,-41.02103,106.241,58.977,-14.162,1.324,0.1005,-10.67,0.913933,16.546,51.09,0,4,0.902472198,0.9320033,0.0833
