PDB,label,PID,HADDOCK,ZRANK2,ROSETTADOCK,PYDOCK_TOT,SIPPER,AP_PISA,FIREDOCK,CP_PIE,PIsToN,GNN-DOVE,DeepRank-GNN,dMaSIF
1A79-model-2-pos,1,1A79,-153.70454,127.776,16.275,-8.836,-0.769,-0.1546,-0.26,0.650986,-0.000422835,0.2314,0.006534276,-0.032934245
1A79-model-34-neg,0,1A79,-78.30174,-285.466,-5.696,-42.356,-0.706,-0.5599,-39.85,1.89228,1.943732977,0.3611,0.005598231,-1.289588571
1ACB-model-1-pos,1,1ACB,-122.2719,-45.4688,11.605,-6.647,-0.365,-0.0682,-18.97,0.505204,-1.55620575,0.2274,0.010279951,2.688918829
1ACB-model-48-neg,0,1ACB,-74.17598,-269.227,-5.951,-42.551,11.7,-0.4861,-76.01,1.340167,1.125549078,0.3332,0.004418492,-0.477317035
1AGQ-model-1-pos,1,1AGQ,-233.4649,-69.4251,5.729,-6.065,2.274,-0.03,-7.92,0.705139,-1.862376451,0.4826,0.03257633,2.765862465
1AGQ-model-46-neg,0,1AGQ,-45.86276,-662.248,-11.002,-82.91,17.276,-1.0193,-184.09,4.242461,0.443518281,0.3497,0.01113086,-0.504826546
1AHS-model-68-neg,0,1AHS,-41.133772,-67.3591,2.413,-1.131,2.383,-0.0922,-1.69,0.600889,1.736283541,0.2956,0.014595682,-0.190281153
1AHS-model-8-pos,1,1AHS,-58.30304,-95.3271,-2.069,-9.345,6.139,-0.1952,-5.59,0.812387,-0.027026653,0.2438,0.007599644,0.334308982
1AK4-model-75-neg,0,1AK4,-54.91478,-31.2154,-0.493,-6.821,-3.735,0.0298,0.88,0.234297,1.940885425,0.2274,0.006717253,-1.170712948
1AK4-model-85-pos,1,1AK4,-67.25068,-114.633,-6.023,-17.02,5.781,-0.276,-33,0.755501,0.281011701,0.2274,0.010279951,1.412502527
1AN1-model-47-neg,0,1AN1,-27.3803202,-12.833,-1.02,2.963,-2.886,-0.0095,14.4,0.224315,1.948312283,0.3248,0.009465219,-1.029306412
1AN1-model-69-pos,1,1AN1,-44.65382,-72.1622,7.924,-10.639,3.122,-0.0619,1.82,0.57973,1.321927547,0.3291,0.054863572,0.714537799
1ARZ-model-24-pos,1,1ARZ,-67.15872,1946.51,103.52,20.318,-4.438,-0.0539,-10.46,0.442208,0.788870275,0.2274,0.008251111,0.157526344
1ARZ-model-95-neg,0,1ARZ,-87.3865,-75.6415,-1.804,-9.734,2.629,-0.1818,-3.1,0.850437,1.897825241,0.2274,0.006192752,-1.145815849
