PDB,IRMSD,PID,label,HADDOCK,PIsToN,dMaSIF,DeepRank-GNN,GNN-DOVE,ZRANK2,ROSETTADOCK,PYDOCK_TOT,SIPPER,AP_PISA,FIREDOCK,CP_PIE
1AK4_1,10.03,1AK4,1,37.4887,-0.033544183,-0.640728176,0.011799371,0.2297,1190.66,412.325,-5.72,6.461,0.1388,-83.55,1.11905
1AK4_2,15.26,1AK4,0,202.445917,1.835547924,-0.286034346,0.364610225,0.2421,923.635,393.761,8.142,2.375,-0.1207,-47.55,1.017677
1AK4_3,9.91,1AK4,1,63.47147999999999,-1.310160875,0.200937465,0.196858495,0.2274,1526.58,503.974,8.213,4.51,0.2361,-86.81,1.044604
1AK4_4,15.42,1AK4,0,60.88998,1.234357715,-0.168775901,0.270680934,0.2312,793.486,338.348,12.11,2.103,-0.0615,-45.1,0.950572
1AK4_5,10.11,1AK4,1,49.479380000000006,-1.494605422,0.058527391,0.294202715,0.2274,1291.65,395.861,-2.49,5.412,0.1077,-88.41,1.008095
1AK4_6,14.84,1AK4,0,244.96908,1.180660009,-0.289861351,0.004545891,0.2357,1548.21,688.563,2.232,0.751,0.2074,-99.21,0.882462
1AK4_7,15.78,1AK4,0,7.51067,1.14219594,-0.25696671,0.010169137,0.2339,798.877,291.457,10.505,1.156,-0.0649,-38.66,0.92281
1AK4_8,15.55,1AK4,0,56.75531,1.882842064,-0.227368802,0.300031364,0.2487,490.549,270.677,7.232,1.123,-0.1352,-34.72,1.020527
1AK4_9,9.96,1AK4,1,125.2188,-0.326188087,0.355446279,0.200481534,0.2274,1005.18,401.115,9.105,5.538,0.1756,-78.22,1.128985
1AK4_10,9.26,1AK4,1,68.80062,1.54959929,-0.065541618,0.010279951,0.2379,1516.89,568.163,12.31,4.367,-0.0321,-78.56,0.642727
1AK4_11,15.6,1AK4,0,169.827099,1.890128732,-0.307121873,0.004545891,0.2295,785.856,361.873,21.927,2.603,-0.1937,-34.81,0.931916
1AK4_12,15.77,1AK4,0,47.67874,1.632404208,-0.289861351,0.196683556,0.2003,929.184,417.6,14.62,1.811,-0.0108,-30.76,0.741564
1AK4_13,14.36,1AK4,0,87.65429954,1.020625591,-0.289861351,0.261894643,0.2372,734.206,298.068,4.737,5.844,0.19,-38.95,0.777649
1AK4_14,10,1AK4,1,58.974,-1.599773407,0.214307338,0.296326667,0.2274,1004.71,425.786,-6.218,7.379,-0.063,-89.22,1.105326
1AK4_15,15.09,1AK4,0,137.24781,0.928653538,-0.287122756,0.452954769,0.2336,1102.17,427.841,3.338,2.186,-0.1736,-58.58,1.060027
1AK4_16,15.28,1AK4,0,96.80673,0.904683173,-0.506139278,0.260779977,0.2481,921.254,402.164,12.223,0.109,-0.4288,-64.06,0.779495
1AK4_17,6.15,1AK4,1,117.87112,0.436792254,0.82525754,0.211636037,0.2274,1299.86,459.912,0.535,1.03,-0.0513,-82.14,0.446898
